id,has_availability,availability_30,availability_60,availability_90,availability_365
8196417,1,30,60,90,365
8212422,1,30,60,90,365
8256942,1,29,59,89,364
8277151,1,30,60,90,361
8345350,1,30,60,90,365
8355592,1,30,60,90,365
8380826,1,2,32,62,337
8445747,1,0,24,54,329
8705956,1,30,60,90,365
8721639,1,30,60,90,365
9116730,1,30,60,90,365
9216943,1,30,60,90,181
9268058,1,30,60,90,365
9268500,1,30,60,90,365
9268680,1,30,60,90,365
9269260,1,30,60,90,365
9269637,1,30,60,90,365
9269848,1,30,60,90,365
9281075,1,0,0,0,178
9320962,1,0,0,0,118
9351647,1,30,60,90,365
9397355,1,25,55,85,360
9398808,1,30,60,90,365
9464059,1,29,37,37,272
9683612,1,30,60,90,365
9746208,1,30,60,90,181
9857050,1,0,0,0,268
9887900,1,0,0,0,87
9910891,1,30,60,90,365
9928008,1,27,57,87,245
9942594,1,30,60,90,365
9986864,1,29,59,89,364
10001615,1,30,60,90,365
10126030,1,30,60,90,365
10210475,1,30,60,90,365
10302387,1,30,60,90,365
10399199,1,30,60,90,365
10427701,1,0,24,54,329
10668368,1,0,0,24,299
10669564,1,30,60,90,181
11425553,1,0,0,24,299
11581560,1,29,59,89,364
11617126,1,29,59,89,364
11660178,1,1,30,60,335
11660178,1,1,30,60,335
11679272,1,26,56,86,361
11679463,1,26,56,86,361
11760026,1,30,60,90,91
11993987,1,30,60,90,365
12028422,1,30,60,90,365
12162272,1,0,29,59,242
12211385,1,0,0,0,148
12211392,1,0,0,0,148
12211392,1,0,0,0,148
12213801,1,0,24,54,329
12317780,1,23,53,83,358
12345284,1,0,0,0,148
12347038,1,0,0,0,148
12366660,1,0,0,0,148
12366660,1,0,0,0,148
12366958,1,0,0,0,148
12367042,1,0,0,0,148
12367388,1,0,0,0,148
12367758,1,0,0,0,148
12367917,1,0,0,0,148
12368074,1,0,0,0,148
12434512,1,13,43,73,348
12455215,1,30,60,90,365
12556334,1,0,15,45,320
12738797,0,23,53,83,358
12801097,1,30,60,90,365
12904788,1,0,24,54,329
12975156,1,28,58,88,363
12975736,1,28,58,88,363
13049120,1,30,60,90,365
13183241,1,30,60,90,365
13317120,1,18,48,78,347
13361848,1,0,24,54,202
13396802,1,16,42,72,338
13556435,1,30,60,90,365
13559548,1,0,0,0,268
13607907,1,30,60,90,365
13659860,1,0,0,0,210
13703898,1,30,60,90,365
13809823,1,29,59,89,364
13834039,1,29,59,89,364
13875517,1,30,60,90,365
13890512,1,0,24,54,329
13952292,1,0,0,0,239
13966783,1,0,24,54,329
13967083,1,27,57,87,362
13967760,1,26,56,86,361
14020127,1,0,24,54,329
14163127,1,29,59,89,364
14196212,1,23,53,83,358
14196212,1,23,53,83,358
14213091,1,23,53,83,358
14332483,1,1,1,1,1
14407337,1,0,24,54,329
14435012,1,30,60,90,365
14489603,1,1,1,1,1
14558461,1,0,0,0,274
14577360,1,0,24,54,329
14582945,1,30,60,90,365
14583967,1,25,55,85,360
14701395,1,30,60,90,365
14902239,1,0,24,54,329
14953906,1,0,24,54,329
15100514,1,30,60,90,365
15310627,1,0,0,19,110
15364942,1,0,0,0,195
15389076,1,23,53,83,358
15406706,1,0,24,54,329
15406706,1,0,24,54,329
15430456,1,30,60,90,365
15441196,1,0,24,54,329
15454153,1,0,10,40,315
15487894,1,0,24,54,329
15508557,1,30,60,90,365
15775439,1,0,0,0,139
15792137,1,13,43,73,348
15792808,1,14,43,73,348
15813099,1,30,60,90,91
15933531,1,0,24,54,329
15965563,1,30,60,90,365
15991345,1,30,60,90,365
16006904,1,30,60,90,365
16007139,1,30,60,90,365
16008908,1,29,59,89,364
16044788,1,28,58,88,363
16118606,1,30,60,90,365
16149534,1,0,0,0,239
16150227,1,0,0,23,298
16150642,1,30,60,90,365
16177101,1,30,60,90,365
16185665,1,0,24,54,329
16209070,1,0,24,54,329
16220808,1,0,24,54,329
16243464,1,29,59,89,364
16260783,1,0,0,3,278
16309636,1,30,60,90,365
16370834,1,0,0,0,274
